PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_price,Sale_year
Residential,5400808000,2007 E OKLAHOMA AV,,14,4610,Townhouse,Brick,2.0,1954,0,1769,2,4,2,0,5160,152000,2009
Residential,3121341000,2846 N 9TH ST,,15,2870,Residence O/S,Aluminum / Vinyl,1.5,1900,0,1771,1,4,2,0,3600,26500,2009
Residential,3250309100,2521 N 20TH ST,,15,2940,Residence O/S,Aluminum / Vinyl,1.0,1890,0,1425,1,4,1,0,3780,35500,2009
Residential,3101377100,2862 N 24TH ST,,15,2950,Residence O/S,Frame,1.0,1891,0,1124,1,4,1,0,7500,72300,2009
Residential,3080526000,2878 N SHERMAN BL,,15,2500,Tudor,Masonry / Frame,2.0,1928,0,2922,1,5,2,1,8415,190000,2009
Residential,2310563000,2136 W CONGRESS ST,,1,1620,Cape Cod,Stone,1.0,1946,0,1670,1,4,1,1,6480,165000,2009
Residential,1230289000,7049 N 38TH CT,,1,600,Ranch,Aluminum / Vinyl,1.0,1964,0,1213,1,3,1,1,6528,120000,2009
Residential,1700313000,5880 N 29TH ST,,1,900,Ranch,Frame,1.0,1952,0,1144,1,3,1,0,4920,79000,2009
Residential,1960009110,5315 N MILWAUKEE RIVER PK,,1,1220,Residence O/S,Aluminum / Vinyl,2.0,1924,0,1171,1,2,2,0,8650,125000,2009
Residential,1710544000,5662 N 38TH ST,,1,900,Residence O/S,Aluminum / Vinyl,1.0,1927,0,957,1,4,1,0,3960,29000,2009
Residential,2260914000,4482 N 65TH ST,,2,1490,Cape Cod,Brick,1.0,1956,0,1090,1,3,1,0,5460,94000,2009
Residential,1909741130,5555 N 56TH ST,,2,1140,Colonial,Masonry / Frame,2.0,1959,0,1635,1,3,1,1,10935,108000,2009
Residential,1890097000,6516 W VILLARD AV,,2,1140,Cottage,Frame,1.0,1925,0,640,1,2,1,0,6600,40000,2009
Residential,2260873000,4418 N 66TH ST,,2,1490,Duplex N/S,Brick,1.5,1958,0,2013,2,5,2,1,5460,130000,2009
Residential,2650051000,3929 N 62ND ST,,2,1940,Ranch,Brick,1.0,1958,0,1287,1,3,1,1,5330,108000,2009
Residential,1760014100,5636 N 78TH ST,,2,980,Ranch,Aluminum / Vinyl,1.0,1955,0,1284,1,2,1,0,5460,38000,2009
Residential,2250169000,7322 W CONGRESS ST,,2,1480,Ranch,Brick,1.0,1958,0,1215,1,3,1,1,5400,41900,2009
Residential,1770052110,5770 N 90TH ST,,2,1020,Ranch,Aluminum / Vinyl,1.0,1960,0,1183,1,3,1,1,9972,82000,2009
Residential,2120249000,5050 N 70TH ST,,2,1380,Ranch,Brick,1.0,1959,0,1153,1,3,1,0,4800,98000,2009
Residential,1750390000,5733 N 75TH ST,,2,980,Ranch,Frame,1.0,1971,0,948,1,3,1,0,4800,65000,2009
Residential,1520302000,6310 N JOYCE AV,,2,700,Ranch,Aluminum / Vinyl,1.0,1958,0,938,1,3,1,0,8715,103000,2009
Residential,2130443000,7639 W PALMETTO AV,,2,1400,Ranch,Aluminum / Vinyl,1.0,1955,0,936,1,3,1,0,6592,97000,2009
Residential,1880076000,5444 N 75TH ST,,2,1380,Ranch,Frame,1.0,1955,0,864,1,3,1,0,6760,64000,2009
Residential,3550813000,1755 N FRANKLIN PL,,3,3240,Cottage,Fiber-Cement,2.0,1890,0,1852,1,5,3,0,3465,235000,2009
Residential,3140272000,2934 N PIERCE ST,,3,2880,Dplx Bungalow,Frame,2.0,1922,0,2196,2,4,2,0,3600,109000,2009
Residential,3210638000,2432 N FRATNEY ST,,3,2890,Duplex O/S,Aluminum / Vinyl,1.5,1889,0,1680,2,5,2,0,3600,94000,2009
Residential,2801106000,3207 N BARTLETT AV,,3,3150,Duplex O/S,Frame,1.5,1901,0,1643,2,4,2,0,3600,201000,2009
Residential,3140138000,2839 N WEIL ST,,3,2890,Duplex-Cottage,Frame,1.5,1895,0,1557,2,4,1,1,3600,60000,2009
Residential,2811214000,3334 N WEIL ST,,3,3320,Milwaukee Bungalow,Aluminum / Vinyl,1.0,1926,0,1384,1,4,1,1,4560,184000,2009
Residential,3161209000,2735 N FARWELL AV,,3,3170,Residence O/S,Frame,2.0,1897,0,4077,1,5,3,1,4800,372000,2009
Residential,2780726000,3365 N SUMMIT AV,,3,3060,Residence O/S,Stucco,2.0,1920,0,3037,1,5,3,2,7200,512400,2009
Residential,2780669000,3444 N HACKETT AV,,3,3060,Residence O/S,Brick,2.0,1922,0,2242,1,4,2,2,7320,480000,2009
Residential,3200615000,2537 N BARTLETT AV,,3,3190,Residence O/S,Aluminum / Vinyl,1.5,1890,0,1408,1,3,2,0,3000,243683,2009
Residential,3200232000,2545 N GORDON PL,,3,3330,Residence O/S,Aluminum / Vinyl,1.5,1891,0,1291,1,3,2,0,3600,144000,2009
Residential,3180155000,2568 N SUMMIT AV,,3,3060,Tudor,Stucco,2.0,1911,0,3486,1,5,2,1,8700,399500,2009
Residential,3880021000,3130 W WELLS ST,,4,2300,Duplex O/S,Brick,2.0,1885,0,4140,2,6,2,0,9000,180000,2009
Residential,3031026000,2824 N 84TH ST,,5,2080,Cape Cod,Brick,1.0,1948,0,1473,1,4,2,0,4756,190000,2009
Residential,3031153000,7900 W LORRAINE PL,,5,2080,Cape Cod,Brick,1.0,1948,0,1274,1,3,1,1,5040,177000,2009
Residential,2620123000,3750 N 87TH ST,,5,2040,Cape Cod,Brick,1.0,1953,0,1261,1,3,1,1,4960,110200,2009
Residential,2930053000,3225 N 87TH ST,,5,2100,Cape Cod,Aluminum / Vinyl,1.0,1949,0,1255,1,3,1,0,4800,145000,2009
Residential,2930617000,3433 N 90TH ST,,5,2100,Cape Cod,Aluminum / Vinyl,1.0,1951,0,1255,1,3,1,1,5000,144000,2009
Residential,1109966000,10124 W GREENWOOD TR,,5,440,Cape Cod,Aluminum / Vinyl,1.0,1948,0,1142,1,3,1,0,21780,163000,2009
Residential,3020450000,2940 N 85TH ST,,5,2080,Cape Cod,Brick,1.0,1949,0,1125,1,2,1,0,5000,157000,2009
Residential,2620620000,3871 N 87TH ST,,5,2040,Cape Cod,Brick,1.0,1949,0,1086,1,3,1,0,7000,145000,2009
Residential,3030009000,8116 W CENTER ST,,5,2080,Cape Cod,Aluminum / Vinyl,1.0,1946,0,1048,1,3,1,0,4520,100000,2009
Residential,2930247000,3328 N 85TH ST,,5,2100,Cape Cod,Aluminum / Vinyl,1.0,1952,0,1005,1,3,1,0,5000,146000,2009
Residential,3030350000,2908 N 80TH ST,,5,2080,Cape Cod,Aluminum / Vinyl,1.0,1941,0,921,1,3,1,0,5376,140000,2009
Residential,3030707000,8237 W LORRAINE PL,,5,2080,Colonial,Masonry / Frame,2.0,1951,0,1473,1,3,1,1,4988,156000,2009
Residential,3020319000,3019 N 84TH ST,,5,2080,Colonial,Masonry / Frame,2.0,1939,0,1188,1,3,1,0,5280,165000,2009
Residential,3020834000,8620 W CENTER ST,,5,2080,Duplex N/S,Brick,1.0,1950,0,2411,2,4,2,1,10800,190000,2009
Residential,2241201000,4745 N 78TH CT,,5,1470,Duplex N/S,Masonry / Frame,2.0,1959,0,2386,2,6,2,0,10848,145000,2009
Residential,3020614000,2815 N 88TH ST,,5,2080,Duplex N/S,Brick,1.5,1952,0,2156,2,5,2,1,6250,205000,2009
Residential,1150034000,10544 W LEON TR,,5,440,Ranch,Stone,1.0,1950,0,1922,1,2,2,0,21780,166500,2009
Residential,1150005000,6930 N 100TH ST,,5,440,Ranch,Masonry / Frame,1.0,1961,0,1749,1,3,1,1,21780,195000,2009
Residential,1499912000,10701 W MILL RD,,5,800,Ranch,Aluminum / Vinyl,1.0,2004,0,1672,1,3,2,0,30122,187000,2009
Residential,2610437000,9330 W MELVINA ST,,5,2100,Ranch,Frame,1.0,1956,0,1498,1,3,1,1,6000,151000,2009
Residential,3020339000,3002 N 86TH ST,,5,2080,Ranch,Brick,1.0,1948,0,1426,1,3,1,0,9375,90000,2009
Residential,2520558000,7977 W FIEBRANTZ AV,,5,1470,Ranch,Brick,1.0,1956,0,1388,1,3,1,1,7980,134001,2009
Residential,2230749000,8726 W ARDEN PL,,5,1460,Ranch,Aluminum / Vinyl,1.0,1957,0,1384,1,4,1,0,7224,127000,2009
Residential,1830204000,10824 W VILLARD AV,,5,1040,Ranch,Aluminum / Vinyl,1.0,1963,0,1120,1,3,1,1,10270,142000,2009
Residential,3031200000,2767 N 83RD ST,,5,2080,Ranch,Brick,1.0,1949,0,1053,1,2,1,0,5760,132000,2009
Residential,2520410000,4108 N 81ST ST,,5,1470,Ranch,Aluminum / Vinyl,1.0,1956,0,1051,1,3,1,0,6120,149900,2009
Residential,2611133000,3708 N 99TH ST,,5,2100,Ranch,Aluminum / Vinyl,1.0,1955,0,1050,1,3,1,1,5106,144000,2009
Residential,3020361000,3034 N 87TH ST,,5,2080,Ranch,Brick,1.0,1951,0,1016,1,3,1,0,5000,145000,2009
Residential,3030822000,2850 N 77TH ST,,5,2080,Ranch,Aluminum / Vinyl,1.0,1949,0,989,1,2,1,0,4800,158000,2009
Residential,2630219000,3877 N 83RD ST,,5,2040,Ranch,Aluminum / Vinyl,1.0,1954,0,962,1,3,1,0,6750,86500,2009
Residential,2620177000,3600 N 87TH ST,,5,2040,Ranch,Brick,1.0,1955,0,935,1,2,2,0,4960,145000,2009
Residential,3020054000,3015 N 89TH ST,,5,2080,Ranch,Brick,1.0,1951,0,744,1,2,1,1,5000,108000,2009
Residential,3031112000,7634 W LORRAINE PL,,5,2080,Residence O/S,Aluminum / Vinyl,1.5,1925,0,1019,1,3,1,0,5080,147500,2009
Residential,2701785000,3829 N 21ST ST,,6,2840,Dplx Bungalow,Aluminum / Vinyl,1.5,1924,0,1807,2,4,2,0,5535,80000,2009
Residential,2722758000,3652 N 13TH ST,,6,2860,Milwaukee Bungalow,Aluminum / Vinyl,1.0,1919,0,1313,1,2,1,0,4375,13000,2009
Residential,2701828000,3937 N 22ND ST,,6,2840,Milwaukee Bungalow,Frame,1.0,1925,0,1212,1,3,1,0,4440,12000,2009
Residential,3620242000,1627 N MAYFLOWER CT,,6,2920,Townhouse,Aluminum / Vinyl,2.0,1963,0,956,1,3,1,0,2720,20000,2009
Residential,2480020000,4324 N 48TH ST,,7,1680,Cape Cod,Aluminum / Vinyl,1.5,1939,0,1315,1,3,1,1,4640,82500,2009
Residential,2291209000,4674 N HOPKINS ST,,7,1440,Cape Cod,Brick,1.0,1937,0,941,1,3,1,0,3800,25000,2009
Residential,2660271000,3850 N 60TH ST,,7,1830,Cape Cod,Aluminum / Vinyl,1.0,1949,0,678,1,2,1,0,5440,78000,2009
Residential,2660522000,3514 N 54TH BL,,7,1830,Dplx Bungalow,Stone,2.0,1944,0,2408,2,4,2,0,4920,138900,2009
Residential,2700881000,3955 N 26TH ST,,7,2840,Dplx Bungalow,Aluminum / Vinyl,1.5,1926,0,2045,2,4,2,0,4445,79000,2009
Residential,3100574000,3060 N 25TH ST,,7,2950,Duplex O/S,Aluminum / Vinyl,1.5,1913,0,1712,2,4,2,0,3600,10000,2009
Residential,2700964000,3836 N 26TH ST,,7,2840,Milwaukee Bungalow,Frame,1.0,1925,0,1593,1,3,1,0,3564,25000,2009
Residential,2880619000,3440 N 45TH ST,,7,1840,Milwaukee Bungalow,Brick,1.0,1927,0,1589,1,4,1,0,4760,107500,2009
Residential,2880502000,3148 N 48TH ST,,7,1840,Tudor,Brick,1.5,1934,0,1604,1,3,1,1,5250,154500,2009
Residential,4581630000,1522 S 32ND ST,,8,4060,Cottage,Aluminum / Vinyl,1.0,1900,0,1031,1,3,1,0,3780,61500,2009
Residential,4360409000,1253 S 37TH ST,,8,4060,Dplx Bungalow,Aluminum / Vinyl,1.5,1913,0,2019,2,4,2,1,4765,105000,2009
Residential,4710355000,2134 S 34TH ST,,8,4000,Dplx Bungalow,Frame,1.5,1918,0,1809,2,3,2,0,3960,119000,2009
Residential,4710188100,2004 S 33RD ST,,8,4000,Milwaukee Bungalow,Aluminum / Vinyl,1.0,1924,0,1556,1,4,2,0,3795,115000,2009
Residential,4351225000,3230 W MADISON ST,,8,4060,Milwaukee Bungalow,Stucco,1.0,1920,0,1458,1,5,1,0,4200,74900,2009
Residential,4240113000,2902 W PIERCE ST,,8,4060,Residence O/S,Frame,2.0,1924,0,1762,1,3,3,0,3540,55000,2009
Residential,4340248000,1127 S 20TH ST,,8,4050,Residence O/S,Aluminum / Vinyl,1.5,1900,0,1637,1,5,2,0,3133,78000,2009
Residential,4710618000,2223 S 28TH ST,,8,4000,Residence O/S,Aluminum / Vinyl,1.0,1909,0,1576,1,5,1,0,3750,85000,2009
Residential,4570305000,3617 W GREENFIELD AV,,8,4060,Residence O/S,Aluminum / Vinyl,1.5,1920,0,1024,1,3,1,0,3750,79000,2009
Residential,4710659000,2934 W LINCOLN AV,,8,4000,Triplex,Stucco,1.5,1910,0,2816,3,6,3,0,3600,115000,2009
Residential,1040081000,5314 W PORTAGE AV,,9,360,Cape Cod,Aluminum / Vinyl,1.0,1957,0,1482,1,4,1,1,10004,149000,2009
Residential,1399703300,6467 N 52ND ST,,9,560,Ranch,Aluminum / Vinyl,1.0,1964,0,1390,1,4,1,1,6600,109900,2009
Residential,1080223000,8812 W DOGWOOD ST,,9,440,Ranch,Aluminum / Vinyl,1.0,1969,0,1325,1,3,1,1,10425,131000,2009
Residential,1170482000,9015 W HELENA CT,,9,480,Ranch,Aluminum / Vinyl,1.0,1978,0,1320,1,3,1,1,8637,140000,2009
Residential,1040039000,7463 N 52ND ST,,9,360,Ranch,Brick,1.0,1957,0,1131,1,3,1,1,8750,127000,2009
Residential,1380019000,6500 N 49TH CT,,9,560,Ranch,Aluminum / Vinyl,1.0,1962,0,1074,1,3,1,1,8640,36000,2009
Residential,2640919000,7202 W NASH ST,,10,1940,Cape Cod,Frame,1.0,1952,0,1291,1,3,1,1,6120,127000,2009
Residential,4060603000,151 N 72ND ST,,10,2720,Cape Cod,Aluminum / Vinyl,1.0,1942,0,1247,1,3,2,0,5160,152900,2009
Residential,2890066000,3444 N 57TH ST,,10,1850,Cape Cod,Stone,1.0,1945,0,1113,1,3,1,0,4800,75000,2009
Residential,4190385000,108 N 76TH ST,,10,2720,Cape Cod,Aluminum / Vinyl,1.0,1942,0,968,1,3,1,0,7200,185000,2009
Residential,4180263000,208 S 79TH ST,,10,2720,Cape Cod,Aluminum / Vinyl,1.0,1952,0,728,1,2,1,0,5200,105000,2009
Residential,3050287000,2761 N AVONDALE BL,,10,1980,Colonial,Stone,2.0,1941,0,1894,1,3,1,1,6500,209000,2009
Residential,3050554000,2725 N 68TH ST,,10,1980,Colonial,Brick,2.0,1938,0,1694,1,3,1,1,5550,224000,2009
Residential,3461670000,5126 W LLOYD ST,,10,2540,Colonial,Aluminum / Vinyl,2.0,1921,0,1657,1,3,1,1,4800,213000,2009
Residential,3060536000,5318 W LOCUST ST,,10,1860,Colonial,Aluminum / Vinyl,2.0,1926,0,1271,1,3,1,0,5336,69000,2009
Residential,4061060000,6909 W MAIN ST,,10,2710,Cottage,Aluminum / Vinyl,1.0,1927,0,872,1,1,1,0,3400,84900,2009
Residential,3290812000,2476 N 60TH ST,,10,2540,Dplx Bungalow,Brick,1.5,1928,0,2108,2,5,2,0,4800,195000,2009
Residential,4200039000,603 S 60TH ST,,10,2710,Dplx Bungalow,Brick,1.0,1925,0,1975,2,3,3,0,5625,140000,2009
Residential,3680642000,5817 W VLIET ST,,10,2600,Dplx Bungalow,Aluminum / Vinyl,2.0,1923,0,1918,2,4,2,0,4200,145000,2009
Residential,4201082000,6131 W DIXON ST,,10,2710,Dplx Bungalow,Brick,1.5,1929,0,1821,2,4,2,0,4473,112000,2009
Residential,4180167000,177 S 78TH ST,,10,2720,Duplex N/S,Brick,2.0,1967,0,2104,2,4,2,1,5200,180000,2009
Residential,2890134000,3425 N 54TH ST,,10,1850,Duplex N/S,Stone,2.0,1945,0,2026,2,4,2,0,5200,120000,2009
Residential,2890134000,3425 N 54TH ST,,10,1850,Duplex N/S,Stone,2.0,1945,0,2026,2,4,2,0,5200,120000,2009
Residential,4061339000,139 S 71ST ST,,10,2720,Milwaukee Bungalow,Aluminum / Vinyl,1.0,1928,0,1279,1,3,1,0,7200,156500,2009
Residential,3060558000,2943 N 52ND ST,,10,1860,Milwaukee Bungalow,Aluminum / Vinyl,1.0,1929,0,1253,1,3,1,0,4800,93000,2009
Residential,3461434000,2206 N 57TH ST,,10,2540,Milwaukee Bungalow,Brick,1.0,1922,0,1221,1,3,1,0,3955,132000,2009
Residential,3040514000,7309 W HADLEY ST,,10,1980,Ranch,Stone,1.0,1949,0,1370,1,2,1,0,6148,181500,2009
Residential,4060648000,7205 W STEVENSON ST,,10,2720,Ranch,Stone,1.0,1949,0,1011,1,2,1,1,5289,161800,2009
Residential,4050516000,350 N 63RD ST,,10,2700,Ranch,Aluminum / Vinyl,1.0,1949,0,808,1,2,1,0,4920,105000,2009
Residential,3670149000,1337 N 45TH ST,,10,2610,Residence O/S,Stucco,1.0,1916,0,1397,1,3,1,0,5160,85500,2009
Residential,3060769000,2813 N 58TH ST,,10,1860,Residence O/S,Aluminum / Vinyl,1.0,1923,0,990,1,4,1,0,4760,49900,2009
Residential,4061333000,103 N 71ST ST,,10,2720,Residence O/S,Frame,1.0,1925,0,870,1,1,1,0,3680,81496,2009
Residential,3860808000,1168 N 46TH ST,,10,2610,Triplex,Frame,2.0,1928,0,2990,3,5,3,0,4800,148000,2009
Residential,3460318000,5230 W WASHINGTON BL,,10,2580,Tudor,Brick,2.0,1928,0,3178,1,5,3,2,6076,419000,2009
Residential,4030505000,466 N PINECREST ST,,10,2680,Tudor,Brick,1.0,1928,0,1413,1,2,1,1,8700,208000,2009
Residential,5100437000,3071 S 33RD ST,,11,4320,Cape Cod,Aluminum / Vinyl,1.0,1963,0,1696,1,4,2,0,5625,181000,2009
Residential,5310112000,3160 S 51ST ST,,11,4420,Cape Cod,Aluminum / Vinyl,1.5,1940,0,1467,1,3,1,1,7200,167000,2009
Residential,5569943100,5900 W HOWARD AV,,11,4420,Cape Cod,Brick,1.0,1952,0,1400,1,4,1,0,6255,101000,2009
Residential,5330802000,3156 S 28TH ST,,11,4400,Cape Cod,Brick,1.0,1950,0,1320,1,4,1,0,4800,117000,2009
Residential,5309979100,3457 S 57TH ST,,11,4420,Cape Cod,Stone,1.0,1953,0,1246,1,3,1,0,5400,145000,2009
Residential,4899886000,2600 S 69TH ST,,11,4240,Cape Cod,Brick,1.0,1950,0,1225,1,3,1,0,5544,138000,2009
Residential,5310617000,3134 S 44TH ST,,11,4410,Cape Cod,Brick,1.0,1938,0,1205,1,3,1,0,5922,126300,2009
Residential,5121228000,2915 S 46TH ST,,11,4320,Cape Cod,Aluminum / Vinyl,1.0,1949,0,1183,1,3,1,0,5000,167500,2009
Residential,4891432000,2523 S 68TH ST,,11,4240,Cape Cod,Aluminum / Vinyl,1.0,1952,0,1082,1,4,1,0,5400,143500,2009
Residential,5320025000,3361 S 35TH ST,,11,4400,Cape Cod,Aluminum / Vinyl,1.0,1946,0,1036,1,3,1,0,4920,153000,2009
Residential,4901207000,2602 S 65TH ST,,11,4240,Cape Cod,Aluminum / Vinyl,1.0,1953,0,1004,1,3,1,0,4998,140000,2009
Residential,5279907000,8002 W HOLT AV,,11,4340,Cape Cod,Aluminum / Vinyl,1.0,1958,0,934,1,3,1,0,6345,109900,2009
Residential,5120571000,2739 S 48TH ST,,11,4320,Cape Cod,Brick,1.0,1940,0,887,1,2,1,0,4920,132000,2009
Residential,5151480110,2851 S 68TH ST,,11,4240,Cape Cod,Aluminum / Vinyl,1.0,1955,0,800,1,2,1,0,4920,125700,2009
Residential,5120840000,2825 S 43RD ST,,11,4320,Colonial,Stone,2.0,1932,0,2942,1,4,1,2,7936,225000,2009
Residential,5710552000,7123 W WATERFORD AV,,11,4430,Colonial,Aluminum / Vinyl,2.0,1985,0,1858,1,4,2,1,7700,267000,2009
Residential,5320312000,3536 W OHIO AV,,11,4410,Colonial,Brick,2.0,1950,0,1604,1,3,1,1,6250,168000,2009
Residential,5320077100,3377 S PRINCETON AV,,11,4410,Colonial,Stone,2.0,1937,0,1584,1,3,1,1,10107,220500,2009
Residential,5120773000,2750 S 45TH ST,,11,4320,Colonial,Aluminum / Vinyl,2.0,1942,0,1288,1,3,1,1,4875,163000,2009
Residential,5121237000,3036 S 47TH ST,,11,4320,Dplx Bungalow,Aluminum / Vinyl,1.5,1929,0,1954,2,4,2,0,5125,180000,2009
Residential,5141505000,2865 S 67TH ST,,11,4240,Duplex N/S,Masonry / Frame,2.0,1959,0,2299,2,6,2,0,6000,172000,2009
Residential,5280839000,3310 S 76TH ST,,11,4340,Duplex N/S,Aluminum / Vinyl,1.5,1957,0,2237,2,5,2,1,7320,190000,2009
Residential,5301187000,3320 S 52ND ST,,11,4420,Duplex N/S,Brick,1.5,1956,0,2114,2,5,3,0,7896,167000,2009
Residential,5151359000,2739-A S 70TH ST,,11,4240,Duplex N/S,Brick,1.5,1957,0,1616,2,4,2,0,5400,130000,2009
Residential,5120829000,2864 S 44TH ST,,11,4320,Milwaukee Bungalow,Aluminum / Vinyl,1.0,1920,0,1645,1,4,1,2,4960,162000,2009
Residential,5560376000,3829 S 52ND ST,,11,4420,Milwaukee Bungalow,Brick,1.0,1928,0,1102,1,3,1,1,4800,145000,2009
Residential,5260648000,3287 S 91ST ST,,11,4340,Ranch,Brick,1.0,1964,0,1806,1,4,2,0,8540,218000,2009
Residential,5580835000,7055 W CRAWFORD AV,,11,4330,Ranch,Brick,1.0,1959,0,1468,1,3,1,1,7896,187000,2009
Residential,5580137000,3667 S SUNSET DR,,11,4330,Ranch,Brick,1.0,1958,0,1189,1,3,1,1,8211,160000,2009
Residential,5280207000,7111 W OKLAHOMA AV,,11,4310,Ranch,Brick,1.0,1955,0,1153,1,3,1,0,6240,150000,2009
Residential,5139938000,2952 S 56TH ST,,11,4240,Ranch,Aluminum / Vinyl,1.0,1954,0,1123,1,3,1,0,6800,155000,2009
Residential,5151123000,2910 S 71ST ST,,11,4240,Ranch,Brick,1.0,1954,0,1112,1,3,1,0,7480,160000,2009
Residential,5301173000,3232 S 53RD ST,,11,4420,Ranch,Brick,1.0,1955,0,1109,1,3,1,1,12870,175000,2009
Residential,5619994110,3573 S 92ND ST,,11,4350,Ranch,Brick,1.0,1958,0,1094,1,3,1,0,8400,159900,2009
Residential,5250209000,3152 S 99TH ST,,11,4350,Ranch,Brick,1.0,1959,0,1091,1,3,1,1,7105,150000,2009
Residential,5151121000,2924 S 71ST ST,,11,4240,Ranch,Brick,1.0,1954,0,1085,1,3,1,0,7535,170000,2009
Residential,5100150000,2812 S 35TH ST,,11,4000,Ranch,Aluminum / Vinyl,1.0,1950,0,1072,1,3,1,0,5000,115000,2009
Residential,5560205000,3832 S 57TH ST,,11,4420,Ranch,Aluminum / Vinyl,1.0,1955,0,1020,1,2,1,0,6188,128500,2009
Residential,5130676100,3000 S 60TH ST,,11,4240,Ranch,Brick,1.0,1952,0,1013,1,3,1,0,7480,103500,2009
Residential,5140027000,2719 S 61ST ST,,11,4240,Ranch,Brick,1.0,1954,0,998,1,2,1,0,6035,132000,2009
Residential,5330285000,3224 W RUSKIN ST,,11,4400,Ranch,Stone,1.0,1950,0,982,1,3,2,0,4800,137500,2009
Residential,5140680000,6709 W KINNICKINNIC RIVER PK,,11,4240,Ranch,Aluminum / Vinyl,1.0,1955,0,955,1,2,2,0,10020,162000,2009
Residential,5140322000,6201 W BENNETT AV,,11,4240,Ranch,Aluminum / Vinyl,1.0,1952,0,954,1,2,1,0,4950,101000,2009
Residential,5280907000,7205 W VERONA CT,,11,4310,Ranch,Brick,1.0,1956,0,940,1,3,1,0,7500,146100,2009
Residential,5290908000,6552 W BURDICK AV,,11,4380,Ranch,Aluminum / Vinyl,1.0,1953,0,879,1,3,1,1,6960,116750,2009
Residential,5740168000,4923 W TESCH AV,,11,4420,Ranch,Aluminum / Vinyl,1.0,1956,0,864,1,2,1,0,7644,152000,2009
Residential,5130149000,3065 S 54TH ST,,11,4240,Ranch,Aluminum / Vinyl,1.0,1942,0,833,1,2,1,0,6750,124000,2009
Residential,5330235000,3127 S 32ND ST,,11,4400,Ranch,Brick,1.0,1947,0,826,1,2,1,0,4800,110000,2009
Residential,5140363000,6632 W OKLAHOMA AV,,11,4240,Ranch,Aluminum / Vinyl,1.0,1952,0,811,1,2,1,0,5600,68500,2009
Residential,5320505000,3219A S 42ND ST,,11,4410,Townhouse,Aluminum / Vinyl,2.0,1986,0,2524,2,4,2,2,4879,205900,2009
Residential,5330201000,3117 W OKLAHOMA AV,,11,4400,Townhouse,Brick,2.0,1944,0,1870,2,4,2,0,7200,150000,2009
Residential,4960430000,1806-A W WINDLAKE AV,,12,4160,Duplex O/S,Frame,2.0,1913,0,1692,2,4,2,0,3600,48000,2009
Residential,6420652000,5229 S 6TH ST,,13,4800,Bi-Level,Aluminum / Vinyl,1.0,1971,0,1494,1,4,1,1,9000,179900,2009
Residential,5510478000,3629 S 19TH ST,,13,4520,Cape Cod,Brick,1.0,1954,0,1619,1,4,1,1,5500,160000,2009
Residential,6240836100,5050 S 20TH ST,,13,4780,Cape Cod,Aluminum / Vinyl,1.0,1966,0,1608,1,4,2,0,7320,189000,2009
Residential,5940906000,4472 S BURRELL ST,,13,4720,Cape Cod,Block,1.0,1936,0,1430,1,4,1,0,5670,121500,2009
Residential,5829968000,4264 S PINE AV,,13,4700,Cape Cod,Aluminum / Vinyl,1.0,1942,0,1242,1,3,1,0,5460,150000,2009
Residential,5800375100,4228 S 1ST PL,,13,4700,Cape Cod,Aluminum / Vinyl,1.0,1935,0,1215,1,3,1,0,4840,133000,2009
Residential,5521490000,3634 S 24TH ST,,13,4360,Cape Cod,Aluminum / Vinyl,1.0,1950,0,1183,1,3,1,0,6450,152500,2009
Residential,5510685000,3715 S 19TH ST,,13,4520,Cape Cod,Brick,1.0,1939,0,1173,1,3,2,0,4920,152000,2009
Residential,5510936000,3770 S 17TH ST,,13,4520,Cape Cod,Aluminum / Vinyl,1.0,1943,0,1148,1,3,1,0,4800,130000,2009
Residential,5521422000,2301 W TRIPOLI AV,,13,4360,Cape Cod,Stucco,1.0,1949,0,1057,1,3,2,0,5760,153300,2009
Residential,5980165000,4449 S TENNESSEE AV,,13,4660,Cape Cod,Aluminum / Vinyl,1.0,1958,0,991,1,3,1,0,7200,111000,2009
Residential,5511090000,1564 W HOWARD AV,,13,4520,Duplex N/S,Aluminum / Vinyl,1.5,1950,0,2005,2,3,3,0,5280,159000,2009
Residential,5080470000,1567 W DAKOTA ST,,13,4180,Duplex O/S,Block,1.0,1912,0,1572,2,4,2,0,3520,110000,2009
Residential,5080279000,2952 S 15TH PL,,13,4180,Milwaukee Bungalow,Aluminum / Vinyl,1.0,1928,0,1446,1,3,2,0,3600,119000,2009
Residential,6449946111,5355 S 25TH ST,,13,4780,Ranch,Aluminum / Vinyl,1.0,1977,0,1550,1,3,1,1,9460,190000,2009
Residential,6680129100,5765 S MELINDA ST,,13,4840,Ranch,Frame,1.0,1958,0,1424,1,3,2,0,8040,184000,2009
Residential,6690158112,5939 S 23RD ST,,13,4860,Ranch,Aluminum / Vinyl,1.0,1963,0,1329,1,3,2,1,6000,165000,2009
Residential,5780215000,1630 W PLAINFIELD AV,,13,4660,Ranch,Brick,1.0,1960,0,1201,1,2,2,0,7228,132200,2009
Residential,5950603000,157 W ALLERTON AV,,13,4740,Ranch,Brick,1.0,1956,0,1189,1,3,1,0,7125,154900,2009
