PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_price,Sale_year
Residential,6690801000,5595 S 25TH ST,,13,4780,Colonial,Aluminum / Vinyl,2.0,1990,0,2218,1,4,2,1,8625,241900,2017
Residential,5490121000,191 W CRAWFORD AV,,13,4620,Colonial,Aluminum / Vinyl,2.0,1953,0,1684,1,3,1,1,5850,185000,2017
Residential,5340265000,3251 S 21ST ST,,13,4360,Colonial,Aluminum / Vinyl,2.0,1941,0,1193,1,2,1,0,5400,101000,2017
Residential,5800575110,529 W HOWARD AV,,13,4700,Duplex N/S,Masonry / Frame,2.0,1951,0,1960,2,5,2,0,6360,144000,2017
Residential,5800614000,4000 S 5TH PL,,13,4700,Duplex O/S,Frame,1.5,1923,0,1656,2,5,2,0,5400,146500,2017
Residential,5959966000,224 W MARTIN LA,,13,4740,Duplex O/S,Aluminum / Vinyl,1.0,1900,0,1224,2,2,2,0,14193,115000,2017
Residential,6440005000,5416 S 21ST ST,,13,4780,Ranch,Masonry / Frame,1.0,1962,0,1473,1,3,1,1,10660,195000,2017
Residential,6899993000,1523 W RAMSEY AV,,13,4920,Ranch,Brick,1.0,1954,0,1353,1,3,2,0,23600,137000,2017
Residential,6890292000,6140 S 15TH CT,,13,4920,Ranch,Frame,1.0,1962,0,1334,1,3,1,1,8614,132000,2017
Residential,6439951120,5421 S 14TH ST,,13,4800,Ranch,Brick,1.0,1967,0,1231,1,3,1,1,7300,158000,2017
Residential,5521266000,3828 S 21ST ST,,13,4360,Ranch,Brick,1.0,1957,0,1136,1,3,1,0,5175,117000,2017
Residential,5780238000,1605 W PLAINFIELD AV,,13,4660,Ranch,Brick,1.0,1957,0,1105,1,3,2,0,7784,146000,2017
Residential,5350988000,3358 S 20TH ST,,13,4520,Ranch,Aluminum / Vinyl,1.0,1943,0,707,1,2,1,0,4988,82000,2017
Residential,6900912000,5941 S 26TH ST,,13,4860,Townhouse,Aluminum / Vinyl,2.0,1980,0,2424,2,6,2,2,9800,230000,2017
Residential,5780038000,4238 S 14TH ST,,13,4660,Triplex,Brick,2.0,1956,0,2435,3,5,3,1,8031,173000,2017
Residential,5460364000,3620 S BRUST AV,,14,4620,Cape Cod,Brick,1.0,1953,0,1743,1,4,2,1,5203,173000,2017
Residential,5389934100,3451 S WHITNALL AV,,14,4580,Cape Cod,Brick,1.0,1936,0,1312,1,3,2,0,6680,150000,2017
Residential,5390557000,3200 S LENOX ST,,14,4580,Colonial,Aluminum / Vinyl,2.0,1950,0,1751,1,3,1,1,5418,255000,2017
Residential,5030461000,2745 S ELLEN ST,,14,4540,Dplx Bungalow,Brick,1.5,1928,0,2273,2,4,2,0,4970,233000,2017
Residential,5070749000,2921 S 6TH ST,,14,4180,Duplex O/S,Frame,2.0,1905,0,3012,2,4,2,0,6100,127900,2017
Residential,5031849000,1704 E RUSK AV,,14,4610,Duplex O/S,Aluminum / Vinyl,2.0,1907,0,2540,2,4,2,0,4800,160000,2017
Residential,4991886000,614 E CONWAY ST,,14,4910,Duplex O/S,Aluminum / Vinyl,1.5,1904,0,2352,2,4,2,0,3150,180000,2017
Residential,5070719000,2866 S 9TH ST,,14,4180,Duplex O/S,Aluminum / Vinyl,1.5,1900,0,1837,2,4,2,0,3600,77900,2017
Residential,4671055000,2228 S 5TH PL,,14,4120,Duplex-Cottage,Aluminum / Vinyl,1.0,1890,0,1374,2,5,1,1,2880,45900,2017
Residential,5470328000,1035 E TRIPOLI AV,,14,4620,Ranch,Brick,1.0,1956,0,1140,1,3,1,0,4920,128900,2017
Residential,5030988000,2989 S MABBETT AV,,14,4540,Residence O/S,Brick,1.0,1914,0,2745,1,3,2,0,6590,369000,2017
Residential,5390423100,908 E HOLT AV,,14,4580,Residence O/S,Frame,1.5,1899,0,1662,1,6,2,0,8400,187000,2017
Residential,4990434000,2616 S AUSTIN ST,,14,4910,Residence O/S,Aluminum / Vinyl,2.0,1913,0,1584,1,5,2,1,2800,232000,2017
Residential,5040793000,2941 S LENOX ST,,14,4500,Residence O/S,Aluminum / Vinyl,1.5,1906,0,1578,1,4,2,0,3750,290000,2017
Residential,5050313000,615 E RUSSELL AV,,14,4500,Residence O/S,Aluminum / Vinyl,1.5,1909,0,1523,1,3,1,1,3600,217000,2017
Residential,4991264000,2428 S HOWELL AV,,14,4910,Residence O/S,Aluminum / Vinyl,1.0,1885,0,1388,1,5,1,1,5400,110000,2017
Residential,3481129000,2164 N 36TH ST,,15,2380,Colonial,Aluminum / Vinyl,2.0,2008,0,1232,1,3,1,0,4800,68000,2017
Residential,3661614000,4023 W VLIET ST,,15,2380,Duplex O/S,Stucco,2.0,1914,0,2464,2,6,3,0,6240,30000,2017
Residential,3111783100,2866A N 20TH ST,,15,2950,Duplex O/S,Aluminum / Vinyl,2.0,1910,0,1706,2,5,2,0,2520,21000,2017
Residential,2060305000,5053 N 23RD ST,,1,1340,Cape Cod,Brick,1.0,1946,0,975,1,3,1,0,5934,69900,2017
Residential,2090175000,5071 N 49TH ST,,1,1150,Cape Cod,Aluminum / Vinyl,1.0,1950,0,780,1,2,1,0,9108,26000,2017
Residential,2310567000,4438 N 22ND ST,,1,1620,Cape Cod,Aluminum / Vinyl,1.0,1950,0,758,1,2,1,0,4800,60000,2017
Residential,1950413000,1317 W SHERIDAN CT,,1,1220,Duplex N/S,Aluminum / Vinyl,2.0,1957,0,2266,2,4,2,0,8750,169000,2017
Residential,1020232100,7504 N 43RD ST,,1,380,Ranch,Aluminum / Vinyl,1.0,1965,0,1522,1,3,1,1,11020,93000,2017
Residential,1940148000,2310 W ROHR AV,,1,1200,Ranch,Aluminum / Vinyl,1.0,1955,0,1082,1,3,1,0,6000,68000,2017
Residential,1020010100,4110 W PORTAGE ST,,1,380,Ranch,Aluminum / Vinyl,1.0,1954,0,1040,1,3,2,0,9120,105000,2017
Residential,1710446000,5735 N 41ST ST,,1,900,Ranch,Brick,1.0,1951,0,755,1,2,1,0,5080,48000,2017
Residential,2450142000,4238 N 22ND ST,,1,1620,Residence O/S,Brick,1.0,1930,0,1774,1,4,1,0,3600,42000,2017
Residential,1909802000,5259 N 58TH ST,,2,1140,Cape Cod,Aluminum / Vinyl,1.0,1954,0,1174,1,4,1,1,6160,54000,2017
Residential,1770113000,5700A N 87TH ST,,2,1020,Duplex N/S,Aluminum / Vinyl,1.5,1964,0,2007,2,5,2,0,7800,88000,2017
Residential,1740577000,5957 N 64TH ST,,2,960,Duplex N/S,Aluminum / Vinyl,1.5,1963,0,1909,2,5,2,0,4960,75000,2017
Residential,1780216000,5666 N 97TH ST,,2,1020,Duplex N/S,Aluminum / Vinyl,1.5,1961,0,1799,2,5,2,0,4920,91000,2017
Residential,1909732120,5701 W SILVER SPRING DR,,2,1140,Milwaukee Bungalow,Brick,1.0,1926,0,1764,1,3,1,1,12024,100500,2017
Residential,2250363000,4200 N 73RD ST,,2,1480,Ranch,Brick,1.0,1957,0,1202,1,3,1,1,5280,110000,2017
