,CN,HT,SITREE,common_name,scientific_name
209793,15323237010497,154.0,60.0,California red fir,Abies magnifica
205313,15352951010497,60.0,46.0,California red fir,Abies magnifica
204854,15650696010497,124.0,46.0,California red fir,Abies magnifica
204694,15352408010497,141.0,57.0,California red fir,Abies magnifica
200369,15384867010497,34.0,43.0,California red fir,Abies magnifica
203923,15332398010497,104.0,87.0,California red fir,Abies magnifica
207637,15329240010497,25.0,35.0,California red fir,Abies magnifica
205644,15352738010497,54.0,82.0,California red fir,Abies magnifica
204564,15352011010497,98.0,34.0,California red fir,Abies magnifica
205911,15361821010497,117.0,30.0,California red fir,Abies magnifica
205328,15352966010497,132.0,46.0,California red fir,Abies magnifica
195758,15337551010497,100.0,85.0,California red fir,Abies magnifica
203860,15333072010497,29.0,36.0,California red fir,Abies magnifica
204950,15354200010497,16.0,27.0,California red fir,Abies magnifica
206206,15370755010497,58.0,61.0,California red fir,Abies magnifica
205317,15352955010497,104.0,46.0,California red fir,Abies magnifica
201117,15384596010497,41.0,45.0,California red fir,Abies magnifica
205323,15352961010497,120.0,46.0,California red fir,Abies magnifica
210507,15381098010497,27.0,67.0,California red fir,Abies magnifica
204704,15352418010497,165.0,57.0,California red fir,Abies magnifica
200386,15384885010497,79.0,43.0,California red fir,Abies magnifica
201114,15384593010497,89.0,45.0,California red fir,Abies magnifica
201116,15384595010497,28.0,45.0,California red fir,Abies magnifica
210233,15455410010497,98.0,42.0,California red fir,Abies magnifica
200098,15368916010497,51.0,97.0,California red fir,Abies magnifica
200127,15368945010497,98.0,97.0,California red fir,Abies magnifica
201060,15384539010497,93.0,45.0,California red fir,Abies magnifica
204974,15354224010497,14.0,27.0,California red fir,Abies magnifica
200100,15368918010497,112.0,97.0,California red fir,Abies magnifica
209824,15323268010497,113.0,60.0,California red fir,Abies magnifica
204350,15309584010497,24.0,45.0,California red fir,Abies magnifica
203196,15382888010497,14.0,24.0,California red fir,Abies magnifica
208750,15343866010497,158.0,48.0,California red fir,Abies magnifica
208785,15344364010497,32.0,78.0,California red fir,Abies magnifica
204558,15352005010497,85.0,34.0,California red fir,Abies magnifica
209810,15323254010497,124.0,60.0,California red fir,Abies magnifica
195757,15337550010497,120.0,85.0,California red fir,Abies magnifica
200400,15363970010497,22.0,35.0,California red fir,Abies magnifica
201079,15384558010497,59.0,45.0,California red fir,Abies magnifica
205760,15354904010497,24.0,55.0,California red fir,Abies magnifica
205456,15355998010497,85.0,45.0,California red fir,Abies magnifica
205766,15354910010497,68.0,55.0,California red fir,Abies magnifica
204542,15351989010497,98.0,34.0,California red fir,Abies magnifica
210262,15455439010497,124.0,42.0,California red fir,Abies magnifica
203899,15332371010497,36.0,87.0,California red fir,Abies magnifica
208221,15335001010497,106.0,86.0,California red fir,Abies magnifica
204949,15354199010497,63.0,27.0,California red fir,Abies magnifica
